unique_id,domain,trial_type,method,estimate,ci_lower,ci_upper,sig,ci_width
ADHD_101_ADHD,Stigma - ADHD,tt1,normal,0.417,0.243,0.586,FALSE,0.343
ADHD_101_ADHD,Stigma - ADHD,tt1,basic,0.417,0.237,0.585,FALSE,0.347
ADHD_101_ADHD,Stigma - ADHD,tt1,percent,0.417,0.249,0.596,FALSE,0.347
ADHD_101_ADHD,Stigma - ADHD,tt1,bca,0.417,0.249,0.597,FALSE,0.348
ADHD_101_ADHD,Stigma - ADHD,tt2,normal,0.563,0.393,0.73,FALSE,0.337
ADHD_101_ADHD,Stigma - ADHD,tt2,basic,0.563,0.393,0.732,FALSE,0.339
ADHD_101_ADHD,Stigma - ADHD,tt2,percent,0.563,0.393,0.732,FALSE,0.339
ADHD_101_ADHD,Stigma - ADHD,tt2,bca,0.563,0.388,0.724,FALSE,0.336
ADHD_101_ADHD,Stigma - ADHD,tt3,normal,0.311,0.154,0.467,TRUE,0.313
ADHD_101_ADHD,Stigma - ADHD,tt3,basic,0.311,0.148,0.459,TRUE,0.312
ADHD_101_ADHD,Stigma - ADHD,tt3,percent,0.311,0.162,0.474,TRUE,0.312
ADHD_101_ADHD,Stigma - ADHD,tt3,bca,0.311,0.168,0.482,TRUE,0.314
ADHD_101_ADHD,Stigma - ADHD,tt4,normal,0.477,0.304,0.65,FALSE,0.346
ADHD_101_ADHD,Stigma - ADHD,tt4,basic,0.477,0.3,0.65,FALSE,0.35
ADHD_101_ADHD,Stigma - ADHD,tt4,percent,0.477,0.304,0.654,FALSE,0.35
ADHD_101_ADHD,Stigma - ADHD,tt4,bca,0.477,0.308,0.656,FALSE,0.349
ADHD_106_ADHD,Stigma - ADHD,tt1,normal,0.824,0.692,0.957,TRUE,0.264
ADHD_106_ADHD,Stigma - ADHD,tt1,basic,0.824,0.705,0.97,TRUE,0.265
ADHD_106_ADHD,Stigma - ADHD,tt1,percent,0.824,0.678,0.943,TRUE,0.265
ADHD_106_ADHD,Stigma - ADHD,tt1,bca,0.824,0.648,0.928,TRUE,0.279
ADHD_106_ADHD,Stigma - ADHD,tt2,normal,0.651,0.487,0.814,FALSE,0.327
ADHD_106_ADHD,Stigma - ADHD,tt2,basic,0.651,0.492,0.815,FALSE,0.323
ADHD_106_ADHD,Stigma - ADHD,tt2,percent,0.651,0.487,0.81,FALSE,0.323
ADHD_106_ADHD,Stigma - ADHD,tt2,bca,0.651,0.479,0.799,FALSE,0.32
ADHD_106_ADHD,Stigma - ADHD,tt3,normal,0.583,0.419,0.747,FALSE,0.328
ADHD_106_ADHD,Stigma - ADHD,tt3,basic,0.583,0.421,0.752,FALSE,0.331
ADHD_106_ADHD,Stigma - ADHD,tt3,percent,0.583,0.414,0.746,FALSE,0.331
ADHD_106_ADHD,Stigma - ADHD,tt3,bca,0.583,0.405,0.741,FALSE,0.335
ADHD_106_ADHD,Stigma - ADHD,tt4,normal,0.539,0.368,0.713,FALSE,0.346
ADHD_106_ADHD,Stigma - ADHD,tt4,basic,0.539,0.368,0.714,FALSE,0.345
ADHD_106_ADHD,Stigma - ADHD,tt4,percent,0.539,0.365,0.71,FALSE,0.345
ADHD_106_ADHD,Stigma - ADHD,tt4,bca,0.539,0.368,0.713,FALSE,0.345
ADHD_108_ADHD,Stigma - ADHD,tt1,normal,0.467,0.298,0.638,FALSE,0.34
ADHD_108_ADHD,Stigma - ADHD,tt1,basic,0.467,0.293,0.639,FALSE,0.346
ADHD_108_ADHD,Stigma - ADHD,tt1,percent,0.467,0.295,0.641,FALSE,0.346
ADHD_108_ADHD,Stigma - ADHD,tt1,bca,0.467,0.299,0.644,FALSE,0.345
ADHD_108_ADHD,Stigma - ADHD,tt2,normal,0.449,0.279,0.614,FALSE,0.335
ADHD_108_ADHD,Stigma - ADHD,tt2,basic,0.449,0.281,0.611,FALSE,0.329
ADHD_108_ADHD,Stigma - ADHD,tt2,percent,0.449,0.287,0.616,FALSE,0.329
ADHD_108_ADHD,Stigma - ADHD,tt2,bca,0.449,0.285,0.616,FALSE,0.331
ADHD_108_ADHD,Stigma - ADHD,tt3,normal,0.479,0.312,0.647,FALSE,0.335
ADHD_108_ADHD,Stigma - ADHD,tt3,basic,0.479,0.316,0.645,FALSE,0.329
ADHD_108_ADHD,Stigma - ADHD,tt3,percent,0.479,0.313,0.642,FALSE,0.329
ADHD_108_ADHD,Stigma - ADHD,tt3,bca,0.479,0.316,0.648,FALSE,0.332
ADHD_108_ADHD,Stigma - ADHD,tt4,normal,0.393,0.23,0.557,FALSE,0.327
ADHD_108_ADHD,Stigma - ADHD,tt4,basic,0.393,0.223,0.551,FALSE,0.328
ADHD_108_ADHD,Stigma - ADHD,tt4,percent,0.393,0.236,0.564,FALSE,0.328
ADHD_108_ADHD,Stigma - ADHD,tt4,bca,0.393,0.238,0.568,FALSE,0.33
ADHD_112_ADHD,Stigma - ADHD,tt1,normal,0.365,0.204,0.522,FALSE,0.318
ADHD_112_ADHD,Stigma - ADHD,tt1,basic,0.365,0.199,0.518,FALSE,0.319
ADHD_112_ADHD,Stigma - ADHD,tt1,percent,0.365,0.212,0.531,FALSE,0.319
ADHD_112_ADHD,Stigma - ADHD,tt1,bca,0.365,0.214,0.533,FALSE,0.319
ADHD_112_ADHD,Stigma - ADHD,tt2,normal,0.572,0.406,0.739,FALSE,0.334
ADHD_112_ADHD,Stigma - ADHD,tt2,basic,0.572,0.408,0.744,FALSE,0.336
ADHD_112_ADHD,Stigma - ADHD,tt2,percent,0.572,0.4,0.736,FALSE,0.336
ADHD_112_ADHD,Stigma - ADHD,tt2,bca,0.572,0.395,0.731,FALSE,0.336
ADHD_112_ADHD,Stigma - ADHD,tt3,normal,0.475,0.304,0.646,FALSE,0.341
ADHD_112_ADHD,Stigma - ADHD,tt3,basic,0.475,0.304,0.646,FALSE,0.343
ADHD_112_ADHD,Stigma - ADHD,tt3,percent,0.475,0.303,0.646,FALSE,0.343
ADHD_112_ADHD,Stigma - ADHD,tt3,bca,0.475,0.305,0.65,FALSE,0.345
ADHD_112_ADHD,Stigma - ADHD,tt4,normal,0.598,0.431,0.761,FALSE,0.33
ADHD_112_ADHD,Stigma - ADHD,tt4,basic,0.598,0.431,0.763,FALSE,0.332
ADHD_112_ADHD,Stigma - ADHD,tt4,percent,0.598,0.433,0.765,FALSE,0.332
ADHD_112_ADHD,Stigma - ADHD,tt4,bca,0.598,0.427,0.758,FALSE,0.332
ADHD_113_ADHD,Stigma - ADHD,tt1,normal,0.528,0.355,0.701,FALSE,0.346
ADHD_113_ADHD,Stigma - ADHD,tt1,basic,0.528,0.36,0.706,FALSE,0.346
ADHD_113_ADHD,Stigma - ADHD,tt1,percent,0.528,0.35,0.696,FALSE,0.346
ADHD_113_ADHD,Stigma - ADHD,tt1,bca,0.528,0.351,0.697,FALSE,0.345
ADHD_113_ADHD,Stigma - ADHD,tt2,normal,0.633,0.473,0.795,FALSE,0.322
ADHD_113_ADHD,Stigma - ADHD,tt2,basic,0.633,0.48,0.798,FALSE,0.318
ADHD_113_ADHD,Stigma - ADHD,tt2,percent,0.633,0.467,0.786,FALSE,0.318
ADHD_113_ADHD,Stigma - ADHD,tt2,bca,0.633,0.454,0.779,FALSE,0.325
ADHD_113_ADHD,Stigma - ADHD,tt3,normal,0.263,0.117,0.409,TRUE,0.292
