domain,trial_type,proportion_discriminable,ci_lower,ci_upper,variance,measure
50 Cent - Britney Spears,iat,0.3096969696969697,0.24310742257226262,0.38384826852531845,0.0012890453014096856,IAT
African Americans - European Americans,iat,0.43777777777777777,0.3699544861018599,0.51080605064958,0.0012910742422129163,IAT
Artists - Musicians,iat,0.37292929292929294,0.3168271132070444,0.4364355356476891,9.310036650575104e-4,IAT
Asians - Whites,iat,0.36383838383838385,0.29093036485799284,0.45019973582811607,0.0016507921523075497,IAT
Astrology - Science,iat,0.5492929292929293,0.49447526712593204,0.6048484848484849,7.927847244917513e-4,IAT
Atheism - Religion,iat,0.48505050505050507,0.41754873195424547,0.5515655408812382,0.0011688167088566017,IAT
Athletic People - Intelligent People,iat,0.3624242424242424,0.2915151515151515,0.4450793222266788,0.0015346440627810741,IAT
Avoiding - Approaching,iat,0.38707070707070707,0.318989898989899,0.4712039750695872,0.0015077783317363283,IAT
Bill Clinton - Hillary Clinton,iat,0.4616161616161616,0.3977777777777778,0.5247632994369034,0.001049388452144956,IAT
Briefs - Boxers,iat,0.47474747474747475,0.41550270432276953,0.5288888888888889,8.366583487649726e-4,IAT
Burger King - McDonald's,iat,0.2915151515151515,0.21696969696969698,0.3856245057155291,0.0018510805727491933,IAT
Canadian - American,iat,0.422020202020202,0.3401872554330971,0.5132647688080375,0.0019494367995140489,IAT
Capital Punishment - Imprisonment,iat,0.3971717171717172,0.3265493280641771,0.47333333333333333,0.0014021204838384844,IAT
Career - Family,iat,0.384040404040404,0.3052374838719638,0.46738378966200333,0.001710968377847577,IAT
Chaos - Order,iat,0.39454545454545453,0.3113131313131313,0.47098750692410973,0.0016591983956395653,IAT
Coffee - Tea,iat,0.46505050505050505,0.4010149682820291,0.5256553439114374,0.0010109865184454397,IAT
Cold - Hot,iat,0.6361616161616162,0.5917091094548466,0.6842424242424242,5.572166770080784e-4,IAT
Conservatives - Liberals,iat,0.5119191919191919,0.4306394602995256,0.5842592887705058,0.0015357566963929994,IAT
Corporations - Nonprofits,iat,0.4864646464646465,0.41396376611109037,0.5602591565087167,0.0013928012580431265,IAT
David Letterman - Jay Leno,iat,0.36424242424242426,0.29130430834470417,0.44159633925456493,0.0014699405556936266,IAT
Denzel Washington - Tom Cruise,iat,0.3923232323232323,0.326633783904427,0.46535777261093686,0.0012523652282020433,IAT
Determinism - Free will,iat,0.3296969696969697,0.2572384173159682,0.41394828065492595,0.00159816100503142,IAT
Difficult - Simple,iat,0.5056565656565657,0.4412021426355065,0.5666059477457503,0.0010234091482798848,IAT
Dogs - Cats,iat,0.5139393939393939,0.46217132561130586,0.5671296781626652,7.169054411114801e-4,IAT
Dramas - Comedies,iat,0.4197979797979798,0.35524052471157413,0.48868686868686867,0.0011588873594578191,IAT
Drinking - Abstaining,iat,0.54,0.48505050505050507,0.5910610070134641,7.313506433802673e-4,IAT
Effort - Talent,iat,0.38727272727272727,0.3193939393939394,0.4573646015141746,0.0012388004741446335,IAT
Evolution - Creationism,iat,0.5503030303030303,0.4812121212121212,0.6116486729513577,0.0011072010379544024,IAT
Fat People - Thin People,iat,0.46404040404040403,0.4016161616161616,0.5335353535353535,0.0011325146551314942,IAT
Foreign Places - American Places,iat,0.494949494949495,0.4305050505050505,0.5683083956818276,0.0012357977107136325,IAT
Friends - Family,iat,0.36747474747474745,0.29818181818181816,0.4449204343312125,0.0014012534796334394,IAT
Gay People - Straight People,iat,0.42808080808080806,0.3545448665278438,0.49945953891953804,0.0013666351438457985,IAT
George Bush - John Kerry,iat,0.42707070707070705,0.3607008605104401,0.49737373737373736,0.001215605169076037,IAT
Gun Control - Gun Rights,iat,0.44707070707070706,0.37535353535353533,0.5242052791879767,0.0014419019186376863,IAT
Helpers - Leaders,iat,0.5145454545454545,0.45696969696969697,0.5625470903580649,7.253869478005392e-4,IAT
Hiphop - Classical,iat,0.45111111111111113,0.3875764636178821,0.522054282905081,0.0011768718685079482,IAT
Innocence - Wisdom,iat,0.42484848484848486,0.35889374716545597,0.49244981859249154,0.00116079395401808,IAT
Japan - United States,iat,0.41454545454545455,0.3474045791808685,0.4904284683002263,0.0013312052828786415,IAT
Jazz - Teen Pop,iat,0.48,0.4136480191906163,0.5498268169998568,0.001206832112451193,IAT
Jews - Christians,iat,0.4802020202020202,0.410088683196823,0.556894332016543,0.0014025340044108553,IAT
Jocks - Nerds,iat,0.40565656565656566,0.3419394788922101,0.4630785698411016,9.549848602095351e-4,IAT
Kobe - Shaq,iat,0.3416161616161616,0.2759165564169368,0.4027710258169635,0.0010472235791572726,IAT
Lawyers - Politicians,iat,0.31333333333333335,0.2474747474747475,0.38503128851394414,0.0012313750769645583,IAT
Lord of the Rings - Harry Potter,iat,0.4541414141414141,0.3725211299373624,0.5284848484848484,0.0015829785443018168,IAT
Manufactured - Natural,iat,0.37232323232323233,0.30828282828282827,0.45217818219722755,0.0013474771500253946,IAT
Meat - Vegetables,iat,0.5157575757575757,0.45480025971183957,0.5838383838383838,0.0010835874035621514,IAT
Meg Ryan - Julia Roberts,iat,0.46484848484848484,0.39518195465083233,0.5316142526813189,0.0012113293904804968,IAT
Microsoft - Apple,iat,0.46464646464646464,0.38626262626262625,0.5397909287862658,0.0015339272487889276,IAT
Money - Love,iat,0.37212121212121213,0.29894591762200734,0.4450435889745343,0.0013890390445797957,IAT
Mother Teresa - Princess Diana,iat,0.34020202020202023,0.2641060357086283,0.4271876297842732,0.0017307636353507284,IAT
Mountains - Ocean,iat,0.41919191919191917,0.34501912928639233,0.502020202020202,0.0016041061562608683,IAT
Muslims - Jews,iat,0.37737373737373736,0.31293734172630105,0.44500373468639925,0.0011350434811986593,IAT
National Defense - Education,iat,0.37454545454545457,0.3037878260769279,0.45161058160856504,0.0014220355485322627,IAT
New York - California,iat,0.5185858585858586,0.4582016195716715,0.5735353535353536,8.656464877918961e-4,IAT
Night - Morning,iat,0.4723232323232323,0.41093148694201986,0.5333190908003332,9.747712917911445e-4,IAT
Numbers - Letters,iat,0.5161616161616162,0.4585858585858586,0.5654022956909581,7.425129656801648e-4,IAT
Old People - Young People,iat,0.3557575757575758,0.2882526725289531,0.42718939122852195,0.001256209118791853,IAT
Organized Labor - Management,iat,0.47434343434343434,0.41378408134263195,0.539728666653291,0.0010322546965505176,IAT
Pants - Skirts,iat,0.40525252525252525,0.3339713041142789,0.4744693875778719,0.0012846022137223256,IAT
Past - Future,iat,0.39555555555555555,0.317979797979798,0.4699780847689523,0.0015035062986020157,IAT
Pepsi - Coke,iat,0.502020202020202,0.45515151515151514,0.5490909090909091,5.742795797129218e-4,IAT
Poor People - Rich People,iat,0.462020202020202,0.39841829895486885,0.5262837873391487,0.001063982658251146,IAT
Private - Public,iat,0.4860606060606061,0.4181207243004477,0.5477511775850755,0.0010935583102599225,IAT
Prolife - Prochoice,iat,0.5082828282828283,0.4478787878787879,0.5645737330565558,8.862004262574356e-4,IAT
Protein - Carbohydrates,iat,0.48767676767676765,0.4218181818181818,0.5555779685142967,0.001164337810872434,IAT
Protestants - Catholics,iat,0.42787878787878786,0.36299847360614435,0.4951515151515152,0.0011365333708410886,IAT
Punishment - Forgiveness,iat,0.39636363636363636,0.3169704352622062,0.4732987377550822,0.0015903879998115458,IAT
Realism - Idealism,iat,0.5109090909090909,0.4646198596218484,0.5614559525267645,6.102424047981016e-4,IAT
Reason - Emotions,iat,0.482020202020202,0.42383838383838385,0.5521129546524052,0.0010708015877187481,IAT
Rebellious - Conforming,iat,0.5367676767676768,0.47305177097119033,0.5979720028508907,0.0010155315710171611,IAT
Receiving - Giving,iat,0.31535353535353533,0.2450725104285047,0.39594371098718034,0.0014812915945189588,IAT
Redsox - Yankees,iat,0.481010101010101,0.4167888312666494,0.5494949494949495,0.001146066340536727,IAT
Relaxing - Exercising,iat,0.5393939393939394,0.4698455499563371,0.6034343434343434,0.0011613628268761344,IAT
Republicans - Democrats,iat,0.5357575757575758,0.4687873703935112,0.602020202020202,0.0011551819179030963,IAT
Rich People - Beautiful People,iat,0.3290909090909091,0.26435418153075896,0.39956857438852134,0.001189799304709841,IAT
Security - Freedom,iat,0.42,0.3559476942987513,0.4813885569333789,0.0010240140838790814,IAT
Single - Married,iat,0.476969696969697,0.4113131313131313,0.545555220108841,0.001172749531720847,IAT
Skeptical - Trusting,iat,0.45232323232323235,0.3870727628428895,0.5280249578609214,0.0012929197001510632,IAT
Solitude - Companionship,iat,0.4161616161616162,0.331673277462449,0.4869973572436036,0.001570020939183054,IAT
Southerners - Northerners,iat,0.5535353535353535,0.49454545454545457,0.6162836442590561,9.644540578629246e-4,IAT
Speed - Accuracy,iat,0.3925252525252525,0.314954331385598,0.4626262626262626,0.0014191352090501084,IAT
Stable - Flexible,iat,0.498989898989899,0.4394113772518297,0.5667636145726106,0.0010554581652572168,IAT
State - Church,iat,0.47858585858585856,0.41393939393939394,0.542177259104731,0.0010701888576480616,IAT
Strong - Sensitive,iat,0.4612121212121212,0.4010246968240699,0.5238383838383839,9.81570290897665e-4,IAT
